batch_id,product_name,batch_start_time,labeled_family,labeled_color,batch_size_kg,processing_time_min,flush_needed,flush_time_min,total_time_min
WGC_01363,SikaTop-162,2024-01-06 07:20:00,dark,anthracite,1521,43.7,True,14.3,58.0
WGC_00098,SikaTop-132,2024-01-06 07:35:00,coarse_grey,natural,1613,59.4,True,22.2,81.6
WGC_00936,SikaRep-315,2024-01-06 08:20:00,coarse_white,light_coarse,1356,39.7,True,10.4,50.1
WGC_01309,SikaGrout-315,2024-01-06 12:12:00,coarse_white,white_coarse,1672,45.3,True,21.4,66.8
WGC_01473,SikaTop-122,2024-01-06 12:18:00,fine_white,black_fine,1596,59.2,True,27.7,86.9
WGC_00222,SikaTop-141,2024-01-06 12:56:00,dark,anthracite,1555,51.8,True,13.0,64.8
WGC_00848,SikaTop-152,2024-01-06 13:44:00,fine_dark,light,1258,52.4,True,17.1,69.4
WGC_01662,SikaRep-221,2024-01-06 13:48:00,fine_dark,dark_fine,1350,50.7,False,0.0,50.7
WGC_00594,SikaRep-221,2024-01-06 13:48:00,fine_dark,anthracite,1031,42.7,True,24.6,67.3
WGC_00596,SikaTop-151,2024-01-06 16:06:00,fine_dark,dark,1640,51.2,True,22.2,73.4
WGC_01866,SikaTop-132,2024-01-06 17:03:00,coarse_grey,grey,1351,42.7,True,12.1,54.9
WGC_00416,SikaRep-212,2024-01-06 18:04:00,coarse_grey,concrete,1775,54.5,True,19.1,73.6
WGC_00218,SikaRep-221,2024-01-06 18:23:00,fine_dark,off-white,1598,49.9,True,17.7,67.6
WGC_00680,SikaGrout-214,2024-01-06 21:44:00,coarse_grey,grey,1266,46.7,True,22.3,69.0
WGC_00873,SikaTop-151,2024-01-06 21:46:00,fine_dark,white_coarse,1569,53.2,True,24.6,77.8
WGC_01259,SikaTop-132,2024-01-06 22:57:00,coarse_grey,natural,2126,51.2,True,27.0,78.2
WGC_01872,SikaTop-142,2024-01-07 06:03:00,dark,charcoal,1999,56.5,True,25.1,81.7
WGC_00945,SikaGrout-212,2024-01-07 08:31:00,fine_white,cream,1095,39.3,False,0.0,39.3
WGC_00159,SikaTop-132,2024-01-07 10:47:00,coarse_grey,off-white,2118,65.0,True,27.5,92.5
WGC_00399,SikaTop-142,2024-01-07 13:31:00,dark,dark,1335,45.0,True,29.4,74.4
WGC_00155,SikaGrout-315,2024-01-07 16:15:00,coarse_white,coarse_light,1536,52.9,True,14.6,67.5
WGC_01851,SikaGrout-212,2024-01-07 17:37:00,fine_white,cream,1513,56.4,True,20.5,77.0
WGC_01523,SikaTop-162,2024-01-07 18:49:00,coarse_white,fine_black,1509,48.7,True,24.8,73.5
WGC_01282,SikaTop-162,2024-01-07 19:31:00,coarse_white,white_coarse,1477,43.8,False,0.0,43.8
WGC_01776,SikaTop-132,2024-01-07 20:28:00,coarse_grey,natural,1405,44.3,True,12.0,56.3
WGC_00723,SikaTop-162,2024-01-07 20:41:00,coarse_white,dark,1122,41.9,True,29.3,71.2
WGC_01431,SikaGrout-214,2024-01-07 21:31:00,dark,grey,1597,50.9,True,25.1,76.0
WGC_00639,SikaGrout-315,2024-01-07 22:51:00,coarse_white,white_coarse,1229,48.9,False,0.0,48.9
WGC_01972,SikaGrout-214,2024-01-08 06:03:00,coarse_grey,natural,1966,44.7,True,10.1,54.8
WGC_00447,SikaTop-132,2024-01-08 06:09:00,coarse_grey,grey,1203,51.7,True,18.3,70.0
WGC_00506,SikaTop-142,2024-01-08 06:28:00,dark,black,734,47.0,True,12.6,59.6
WGC_01516,SikaTop-152,2024-01-08 09:37:00,fine_dark,dark,883,45.6,True,20.4,66.0
WGC_01891,SikaTop-162,2024-01-08 09:43:00,coarse_white,coarse_light,1282,33.7,True,25.6,59.2
WGC_01188,SikaGrout-315,2024-01-08 10:23:00,coarse_white,light_coarse,1525,47.7,True,17.9,65.5
WGC_00467,SikaTop-142,2024-01-08 10:48:00,dark,anthracite,1671,59.8,True,15.5,75.3
WGC_00431,SikaTop-121,2024-01-08 13:08:00,fine_white,white,1716,55.3,True,18.7,74.1
WGC_01505,SikaTop-151,2024-01-08 14:07:00,fine_white,dark,1594,60.1,True,22.7,82.8
WGC_01116,SikaTop-122,2024-01-08 15:39:00,fine_white,light,1444,41.3,False,0.0,41.3
WGC_01757,SikaTop-121,2024-01-08 16:17:00,fine_white,off-white,1124,46.4,False,0.0,46.4
WGC_00801,SikaTop-132,2024-01-08 17:57:00,coarse_grey,coarse_light,1632,51.4,True,12.5,63.9
WGC_00927,SikaRep-315,2024-01-08 21:07:00,coarse_white,black,1650,53.9,True,28.7,82.5
WGC_01036,SikaRep-212,2024-01-08 22:01:00,coarse_grey,grey,1206,62.4,True,18.0,80.4
WGC_01055,SikaRep-212,2024-01-08 22:18:00,coarse_grey,concrete,1363,49.5,True,14.2,63.7
WGC_00770,SikaTop-152,2024-01-08 22:19:00,fine_dark,dark_fine,1312,48.2,True,15.5,63.7
WGC_00402,SikaGrout-212,2024-01-09 06:16:00,fine_white,cream,830,44.5,True,21.9,66.3
WGC_01938,SikaTop-141,2024-01-09 07:04:00,dark,dark,954,41.0,True,28.1,69.1
WGC_01975,SikaTop-152,2024-01-09 07:12:00,fine_dark,black_fine,1389,50.0,True,23.4,73.3
WGC_00079,SikaRep-212,2024-01-09 07:48:00,coarse_grey,white,1817,53.4,True,24.8,78.2
WGC_00295,SikaTop-142,2024-01-09 07:59:00,dark,anthracite,1746,53.1,True,10.7,63.8
WGC_00796,SikaColor-201,2024-01-09 09:43:00,dark,anthracite,1431,44.3,True,19.9,64.2
WGC_01193,SikaTop-122,2024-01-09 12:03:00,fine_white,concrete,1194,51.6,True,28.1,79.7
WGC_00882,SikaRep-315,2024-01-09 12:08:00,coarse_white,white_coarse,1732,47.3,True,26.3,73.7
WGC_01889,SikaTop-142,2024-01-09 13:11:00,dark,anthracite,1402,53.2,True,11.7,64.8
WGC_01890,SikaTop-122,2024-01-09 13:38:00,fine_white,light,1218,52.8,True,25.7,78.4
WGC_00230,SikaTop-121,2024-01-09 13:49:00,fine_white,white,966,52.1,True,19.2,71.4
WGC_01733,SikaTop-142,2024-01-09 14:35:00,dark,dark,1918,58.4,True,15.1,73.5
WGC_00530,SikaTop-151,2024-01-09 14:41:00,fine_dark,fine_black,1403,47.8,True,22.3,70.1
WGC_00236,SikaTop-142,2024-01-09 15:57:00,dark,gray,1473,53.6,True,12.3,65.9
WGC_00793,SikaRep-221,2024-01-09 16:13:00,fine_dark,black_fine,1236,40.3,True,11.2,51.5
WGC_01232,SikaRep-315,2024-01-09 16:24:00,coarse_white,light_coarse,1555,55.2,True,21.3,76.5
WGC_01744,SikaGrout-214,2024-01-09 19:43:00,coarse_grey,natural,1147,55.6,True,13.3,68.9
WGC_01894,SikaRep-315,2024-01-10 06:41:00,coarse_white,light_coarse,1617,40.1,False,0.0,40.1
WGC_00248,SikaColor-201,2024-01-10 07:10:00,dark,black,1504,49.9,True,14.2,64.1
WGC_00458,SikaTop-132,2024-01-10 07:18:00,dark,grey,2046,51.3,True,11.9,63.2
WGC_01519,SikaTop-132,2024-01-10 07:22:00,coarse_grey,grey,993,42.6,False,0.0,42.6
WGC_01604,SikaTop-141,2024-01-10 08:32:00,dark,anthracite,1147,44.8,True,29.5,74.3
WGC_01929,SikaTop-142,2024-01-10 10:37:00,dark,anthracite,1494,51.4,False,0.0,51.4
WGC_00188,SikaRep-212,2024-01-10 11:49:00,coarse_grey,natural,2212,62.2,True,24.9,87.1
WGC_00448,SikaTop-162,2024-01-10 17:45:00,coarse_white,white_coarse,1460,48.8,True,23.6,72.4
WGC_01327,SikaTop-121,2024-01-10 19:15:00,fine_white,cream,1223,39.2,True,14.7,54.0
WGC_01430,SikaRep-315,2024-01-10 19:43:00,coarse_white,white,1583,50.7,False,0.0,50.7
WGC_00533,SikaTop-151,2024-01-10 21:20:00,fine_dark,dark_fine,1937,63.4,False,0.0,63.4
WGC_01415,SikaTop-122,2024-01-10 21:40:00,fine_dark,off-white,1034,54.1,False,0.0,54.1
WGC_00186,SikaTop-141,2024-01-10 22:40:00,coarse_white,anthracite,2006,59.5,True,25.8,85.3
WGC_00176,SikaRep-315,2024-01-11 07:09:00,coarse_white,white_coarse,1290,49.0,False,0.0,49.0
WGC_01058,SikaTop-132,2024-01-11 07:34:00,coarse_grey,gray,1906,55.5,True,12.7,68.2
WGC_00423,SikaTop-152,2024-01-11 09:32:00,fine_dark,white,1560,55.9,True,10.6,66.5
WGC_01793,SikaRep-212,2024-01-11 09:45:00,coarse_grey,grey,1673,51.1,True,18.1,69.2
WGC_00366,SikaRep-315,2024-01-11 10:20:00,dark,anthracite,1023,48.0,True,26.0,74.0
WGC_01612,SikaGrout-315,2024-01-11 10:25:00,coarse_white,coarse_light,1272,44.1,True,20.1,64.2
WGC_00816,SikaColor-201,2024-01-11 10:32:00,dark,charcoal,1430,51.6,True,19.4,71.0
WGC_01412,SikaTop-122,2024-01-11 10:40:00,coarse_white,white,1804,52.2,True,20.1,72.4
WGC_00806,SikaTop-151,2024-01-11 10:41:00,fine_dark,black_fine,1552,51.7,True,25.6,77.3
WGC_01142,SikaTop-142,2024-01-11 10:48:00,fine_dark,black,1177,43.6,True,11.7,55.3
WGC_01571,SikaRep-315,2024-01-11 10:57:00,coarse_white,light_coarse,2005,60.1,True,18.4,78.4
WGC_01667,SikaColor-201,2024-01-11 11:15:00,dark,black,1378,45.7,True,17.7,63.4
WGC_01051,SikaGrout-315,2024-01-11 14:23:00,coarse_white,coarse_light,1423,48.0,True,29.5,77.5
WGC_01027,SikaGrout-214,2024-01-11 14:55:00,coarse_grey,grey,1322,48.8,True,19.1,67.9
WGC_01932,SikaGrout-212,2024-01-11 18:20:00,fine_white,concrete,1963,55.1,True,21.2,76.3
WGC_00990,SikaTop-141,2024-01-11 19:23:00,dark,black,1367,46.3,True,27.8,74.1
WGC_01939,SikaTop-162,2024-01-11 20:00:00,coarse_white,white,1636,45.3,True,18.1,63.4
WGC_01926,SikaColor-201,2024-01-11 20:58:00,dark,charcoal,1782,50.9,True,17.9,68.8
WGC_01137,SikaRep-212,2024-01-11 21:50:00,coarse_grey,white_coarse,1539,48.9,False,0.0,48.9
WGC_00811,SikaTop-152,2024-01-11 22:56:00,fine_dark,dark_fine,1438,46.1,True,14.5,60.6
WGC_01648,SikaTop-162,2024-01-12 09:58:00,fine_white,white,1627,59.1,True,15.5,74.5
WGC_00338,SikaTop-121,2024-01-12 11:27:00,fine_white,cream,1509,56.5,True,10.1,66.6
WGC_01777,SikaGrout-315,2024-01-12 11:32:00,coarse_white,white_coarse,1227,57.8,True,25.6,83.4
WGC_00310,SikaRep-221,2024-01-12 12:03:00,fine_dark,dark_fine,1198,41.7,False,0.0,41.7
WGC_00482,SikaRep-315,2024-01-12 12:28:00,coarse_white,light_coarse,1712,56.9,True,10.7,67.6
WGC_00982,SikaColor-201,2024-01-12 13:19:00,dark,anthracite,1124,38.9,True,11.4,50.3
WGC_00501,SikaTop-142,2024-01-12 13:22:00,dark,anthracite,1436,56.8,True,11.2,68.0
WGC_00563,SikaTop-162,2024-01-12 17:14:00,coarse_white,white,1334,61.1,False,0.0,61.1
WGC_00339,SikaTop-121,2024-01-12 17:35:00,coarse_white,cream,1745,45.0,False,0.0,45.0
WGC_00633,SikaTop-132,2024-01-12 18:43:00,coarse_grey,gray,1889,53.8,False,0.0,53.8
WGC_01884,SikaTop-151,2024-01-12 21:12:00,fine_white,dark_fine,1959,56.4,True,24.3,80.7
WGC_00535,SikaTop-162,2024-01-12 21:28:00,coarse_white,white_coarse,1391,44.7,False,0.0,44.7
WGC_01306,SikaTop-141,2024-01-13 06:43:00,dark,charcoal,1872,56.6,False,0.0,56.6
WGC_00030,SikaTop-152,2024-01-13 07:41:00,fine_dark,dark_fine,1257,45.1,True,28.6,73.7
WGC_01831,SikaColor-201,2024-01-13 08:40:00,dark,black,1083,47.3,True,24.8,72.2
WGC_00657,SikaTop-151,2024-01-13 08:59:00,fine_dark,dark_fine,1184,41.5,True,24.9,66.4
WGC_01146,SikaTop-141,2024-01-13 09:04:00,dark,charcoal,1623,50.3,True,12.4,62.7
WGC_00131,SikaTop-122,2024-01-13 09:28:00,fine_white,white,1066,38.6,True,26.3,64.9
WGC_01244,SikaTop-162,2024-01-13 10:20:00,coarse_white,white_coarse,1961,51.3,True,25.6,76.9
WGC_01083,SikaTop-121,2024-01-13 11:18:00,dark,light,1623,49.7,True,15.0,64.7
WGC_00609,SikaRep-212,2024-01-13 11:30:00,coarse_grey,grey,1537,58.5,True,14.1,72.6
WGC_01807,SikaTop-141,2024-01-13 11:40:00,dark,black,1500,52.1,True,19.1,71.2
WGC_00569,SikaGrout-315,2024-01-13 11:49:00,coarse_white,off-white,1527,57.7,False,0.0,57.7
WGC_01456,SikaRep-221,2024-01-13 13:46:00,fine_dark,black_fine,1894,51.1,True,16.9,68.0
WGC_01607,SikaTop-151,2024-01-13 14:41:00,fine_dark,black_fine,1583,50.9,True,22.2,73.1
WGC_01855,SikaTop-141,2024-01-13 15:22:00,dark,charcoal,1634,47.3,True,22.9,70.2
WGC_00461,SikaGrout-214,2024-01-13 16:13:00,coarse_grey,concrete,1394,51.2,True,11.9,63.1
WGC_00725,SikaRep-315,2024-01-13 16:31:00,coarse_white,coarse_light,1448,43.9,True,22.5,66.5
WGC_00153,SikaTop-132,2024-01-13 17:34:00,coarse_grey,grey,1502,50.3,True,25.4,75.6
WGC_01305,SikaTop-142,2024-01-13 19:11:00,dark,charcoal,1576,57.7,True,26.5,84.2
WGC_00954,SikaColor-201,2024-01-13 19:22:00,dark,dark,1375,47.3,False,0.0,47.3
WGC_01874,SikaTop-121,2024-01-13 20:11:00,fine_white,white,1365,49.8,True,19.3,69.1
WGC_01623,SikaRep-212,2024-01-13 20:21:00,coarse_white,gray,1092,40.5,True,19.8,60.3
WGC_00958,SikaTop-142,2024-01-13 21:06:00,dark,anthracite,2228,59.4,False,0.0,59.4
WGC_01821,SikaTop-121,2024-01-13 21:15:00,fine_white,cream,1398,54.8,True,16.7,71.5
WGC_01584,SikaTop-122,2024-01-13 22:20:00,fine_white,white,1382,45.2,True,25.6,70.8
WGC_00354,SikaColor-201,2024-01-14 06:06:00,dark,black,1695,51.5,True,18.4,69.8
WGC_01286,SikaColor-201,2024-01-14 06:22:00,dark,anthracite,1524,46.8,True,21.9,68.7
WGC_01986,SikaGrout-212,2024-01-14 06:54:00,fine_white,off-white,1509,38.4,True,24.5,63.0
WGC_00082,SikaTop-132,2024-01-14 06:59:00,coarse_grey,natural,1655,70.8,True,26.0,96.8
WGC_01454,SikaTop-162,2024-01-14 07:41:00,coarse_white,cream,1667,51.0,True,12.8,63.8
WGC_01930,SikaTop-142,2024-01-14 09:03:00,dark,off-white,1146,45.4,False,0.0,45.4
WGC_01823,SikaGrout-212,2024-01-14 09:36:00,coarse_grey,cream,1480,57.1,True,16.7,73.8
WGC_01047,SikaTop-151,2024-01-14 09:52:00,fine_dark,fine_black,1603,52.6,True,28.8,81.3
WGC_00735,SikaGrout-214,2024-01-14 10:11:00,coarse_white,gray,968,51.0,True,15.7,66.7
WGC_00615,SikaRep-221,2024-01-14 10:27:00,fine_dark,black_fine,2062,61.0,True,26.0,87.0
WGC_01719,SikaTop-151,2024-01-14 10:54:00,fine_dark,dark_fine,1447,44.9,False,0.0,44.9
WGC_00426,SikaTop-121,2024-01-14 11:28:00,fine_white,off-white,1269,49.2,True,23.2,72.3
WGC_01555,SikaGrout-315,2024-01-14 12:51:00,coarse_white,white,1893,52.8,True,27.7,80.5
WGC_01844,SikaTop-162,2024-01-14 13:46:00,coarse_white,coarse_light,2201,55.8,False,0.0,55.8
WGC_00671,SikaTop-121,2024-01-14 15:17:00,fine_dark,light,2151,55.6,True,29.0,84.6
WGC_01836,SikaTop-132,2024-01-14 15:39:00,coarse_grey,natural,988,46.5,True,24.0,70.6
WGC_01863,SikaColor-201,2024-01-14 17:43:00,dark,dark,1701,55.0,True,13.1,68.1
WGC_00510,SikaTop-141,2024-01-14 18:32:00,dark,light,1327,35.3,False,0.0,35.3
WGC_01399,SikaTop-162,2024-01-14 21:47:00,coarse_white,white_coarse,1554,56.7,True,13.8,70.5
WGC_00780,SikaTop-151,2024-01-14 22:49:00,fine_dark,dark,1527,51.3,True,16.0,67.2
WGC_01028,SikaTop-122,2024-01-15 06:10:00,fine_white,cream,1857,59.4,True,17.5,76.9
WGC_00100,SikaColor-201,2024-01-15 08:25:00,dark,dark,1429,58.6,True,12.0,70.6
WGC_00373,SikaRep-315,2024-01-15 09:17:00,coarse_white,white,1434,49.5,True,16.5,66.0
WGC_00042,SikaTop-132,2024-01-15 09:47:00,coarse_grey,gray,1518,62.5,True,11.0,73.5
WGC_00524,SikaTop-152,2024-01-15 09:54:00,fine_dark,grey,2104,56.7,True,10.8,67.6
WGC_01008,SikaRep-221,2024-01-15 10:07:00,fine_dark,dark,1362,48.3,False,0.0,48.3
WGC_01680,SikaTop-162,2024-01-15 11:27:00,coarse_white,white_coarse,1276,48.0,True,29.5,77.4
WGC_01396,SikaTop-162,2024-01-15 11:29:00,coarse_white,light_coarse,1666,49.8,True,13.4,63.2
WGC_01426,SikaTop-151,2024-01-15 11:51:00,fine_dark,dark,1130,38.9,False,0.0,38.9
WGC_01690,SikaTop-122,2024-01-15 12:36:00,fine_white,light,1666,55.1,True,11.0,66.0
WGC_01449,SikaGrout-212,2024-01-15 13:01:00,fine_white,white,1232,49.9,True,16.2,66.1
WGC_01336,SikaTop-151,2024-01-15 13:06:00,fine_dark,dark_fine,1630,53.7,False,0.0,53.7
WGC_01685,SikaGrout-212,2024-01-15 17:46:00,fine_dark,white,1800,54.3,True,27.8,82.1
WGC_00526,SikaTop-141,2024-01-15 18:25:00,dark,anthracite,1096,41.1,True,17.0,58.1
